               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,                 nan,          2.3999e-06,          0.00066879,          1.2064e-06,          2.6389e-07,                 nan,                 nan,                 nan,            0.070012,            0.003332,            0.003332
                   1,                 nan,                 nan,                 nan,          2.5253e-06,          0.00067167,          1.2695e-06,           2.594e-07,                 nan,                 nan,                 nan,            0.039572,           0.0062255,           0.0062255
                   2,                 nan,                 nan,                 nan,          2.3125e-06,          0.00067256,          1.1629e-06,          2.7287e-07,                 nan,                 nan,                 nan,           0.0086919,           0.0086789,           0.0086789
                   3,                 nan,                 nan,                 nan,          2.6318e-06,          0.00068791,          1.3227e-06,           2.794e-07,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                   4,                 nan,                 nan,                 nan,            2.86e-06,           0.0007508,           1.437e-06,          2.6595e-07,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                   5,                 nan,                 nan,                 nan,          2.7112e-06,          0.00074452,          1.3631e-06,          2.6505e-07,                 nan,                 nan,                 nan,             0.00736,             0.00736,             0.00736
                   6,                 nan,                 nan,                 nan,          2.4289e-06,          0.00061671,            1.22e-06,          2.4019e-07,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                   7,                 nan,                 nan,                 nan,          2.8422e-06,          0.00073909,           1.429e-06,          2.9173e-07,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                   8,                 nan,                 nan,                 nan,          2.2183e-06,          0.00061596,          1.1153e-06,          2.5857e-07,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                   9,                 nan,                 nan,                 nan,          2.1763e-06,          0.00066629,           1.094e-06,          2.4532e-07,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                  10,                 nan,                 nan,                 nan,          2.8209e-06,          0.00074905,          1.4185e-06,          2.9265e-07,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  11,                 nan,                 nan,                 nan,          2.0715e-06,          0.00066175,          1.0424e-06,          2.1519e-07,                 nan,                 nan,                 nan,              0.0034,              0.0034,              0.0034
                  12,                 nan,                 nan,                 nan,          2.6427e-06,          0.00068791,          1.3279e-06,          2.7981e-07,                 nan,                 nan,                 nan,             0.00274,             0.00274,             0.00274
                  13,                 nan,                 nan,                 nan,          2.7529e-06,          0.00068248,          1.3843e-06,          2.6933e-07,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  14,                 nan,                 nan,                 nan,          2.3323e-06,          0.00062049,          1.1722e-06,          2.9634e-07,                 nan,                 nan,                 nan,             0.00142,             0.00142,             0.00142
